2023-04-09 16:17:01,drb_ra,ip,124.223.64.4,#CobaltStrike,https://twitter.com/drb_ra/status/1645098499946553349
2023-04-09 16:17:09,drb_ra,url,http://23.95.146.52:443,#CobaltStrike,https://twitter.com/drb_ra/status/1645098533622611969
2023-04-09 16:17:09,drb_ra,url,http://web.gtasdfgh.com./aaaaaaaaa,#CobaltStrike,https://twitter.com/drb_ra/status/1645098533622611969
2023-04-09 16:17:09,drb_ra,url,http://web.gtasdfgh.com,#CobaltStrike,https://twitter.com/drb_ra/status/1645098533622611969
2023-04-09 16:17:09,drb_ra,ip,23.95.146.52,#CobaltStrike,https://twitter.com/drb_ra/status/1645098533622611969
2023-04-09 16:17:15,drb_ra,url,http://149.102.243.142:80,#CobaltStrike,https://twitter.com/drb_ra/status/1645098558482182151
2023-04-09 16:17:15,drb_ra,url,http://149.102.243.142./match,#CobaltStrike,https://twitter.com/drb_ra/status/1645098558482182151
2023-04-09 16:17:15,drb_ra,ip,149.102.243.142,#CobaltStrike,https://twitter.com/drb_ra/status/1645098558482182151
2023-04-09 16:17:24,drb_ra,url,http://4.246.204.55:443,#CobaltStrike,https://twitter.com/drb_ra/status/1645098598135132164
2023-04-09 16:17:24,drb_ra,url,http://4.246.204.55./match,#CobaltStrike,https://twitter.com/drb_ra/status/1645098598135132164
2023-04-09 16:17:24,drb_ra,ip,4.246.204.55,#CobaltStrike,https://twitter.com/drb_ra/status/1645098598135132164
2023-04-09 16:17:33,PhishStats,url,http://www.facebook-signin.com/,#phishing,https://twitter.com/PhishStats/status/1645098635338678273
2023-04-09 16:17:33,PhishStats,url,http://3.137.177.232,#phishing,https://twitter.com/PhishStats/status/1645098635338678273
2023-04-09 16:17:33,PhishStats,ip,3.137.177.232,#phishing,https://twitter.com/PhishStats/status/1645098635338678273
2023-04-09 16:17:37,drb_ra,url,http://121.36.3.244:5903,#CobaltStrike,https://twitter.com/drb_ra/status/1645098651197243394
2023-04-09 16:17:37,drb_ra,url,http://121.36.3.244./g.pixel,#CobaltStrike,https://twitter.com/drb_ra/status/1645098651197243394
2023-04-09 16:17:37,drb_ra,ip,121.36.3.244,#CobaltStrike,https://twitter.com/drb_ra/status/1645098651197243394
2023-04-09 16:17:42,drb_ra,url,http://47.92.95.66:58888,#CobaltStrike,https://twitter.com/drb_ra/status/1645098673607417857
2023-04-09 16:17:42,drb_ra,url,http://127.0.0.1./audiencemanager.js,#CobaltStrike,https://twitter.com/drb_ra/status/1645098673607417857
2023-04-09 16:17:42,drb_ra,url,http://static.microsoft.com,#CobaltStrike,https://twitter.com/drb_ra/status/1645098673607417857
2023-04-09 16:17:42,drb_ra,ip,47.92.95.66,#CobaltStrike,https://twitter.com/drb_ra/status/1645098673607417857
2023-04-09 16:17:42,drb_ra,ip,127.0.0.1,#CobaltStrike,https://twitter.com/drb_ra/status/1645098673607417857
2023-04-09 16:17:45,drb_ra,url,http://120.77.18.249:8088,#CobaltStrike,https://twitter.com/drb_ra/status/1645098685284376577
2023-04-09 16:17:45,drb_ra,url,http://120.77.18.249./pixel.gif,#CobaltStrike,https://twitter.com/drb_ra/status/1645098685284376577
2023-04-09 16:17:45,drb_ra,ip,120.77.18.249,#CobaltStrike,https://twitter.com/drb_ra/status/1645098685284376577
2023-04-09 16:17:53,drb_ra,url,http://43.143.172.113:6969,#CobaltStrike,https://twitter.com/drb_ra/status/1645098716985016322
2023-04-09 16:17:58,drb_ra,url,http://101.35.148.219:80,#CobaltStrike,https://twitter.com/drb_ra/status/1645098740166926336
2023-04-09 16:17:58,drb_ra,url,http://service-2faqs0lf-1309275416.sh.apigw.tencentcs.com./api/x,#CobaltStrike,https://twitter.com/drb_ra/status/1645098740166926336
2023-04-09 16:18:08,drb_ra,url,http://120.78.72.244:8080,#CobaltStrike,https://twitter.com/drb_ra/status/1645098783066279936
2023-04-09 16:18:08,drb_ra,url,http://120.78.72.244./fwlink,#CobaltStrike,https://twitter.com/drb_ra/status/1645098783066279936
2023-04-09 16:18:08,drb_ra,ip,120.78.72.244,#CobaltStrike,https://twitter.com/drb_ra/status/1645098783066279936
2023-04-09 16:18:14,drb_ra,url,http://154.88.14.8:2095,#CobaltStrike,https://twitter.com/drb_ra/status/1645098804398489608
2023-04-09 16:18:14,drb_ra,url,http://microsoft-store.zliufu.shop./fd/ls/,#CobaltStrike,https://twitter.com/drb_ra/status/1645098804398489608
2023-04-09 16:18:14,drb_ra,url,http://microsoft-store.zliufu.shop,#CobaltStrike,https://twitter.com/drb_ra/status/1645098804398489608
2023-04-09 16:18:14,drb_ra,ip,154.88.14.8,#CobaltStrike,https://twitter.com/drb_ra/status/1645098804398489608
2023-04-09 16:18:23,drb_ra,url,http://81.68.123.191:9191,#CobaltStrike,https://twitter.com/drb_ra/status/1645098845284491264
2023-04-09 16:18:23,drb_ra,url,http://81.68.123.191./dpixel,#CobaltStrike,https://twitter.com/drb_ra/status/1645098845284491264
2023-04-09 16:18:23,drb_ra,ip,81.68.123.191,#CobaltStrike,https://twitter.com/drb_ra/status/1645098845284491264
2023-04-09 16:02:27,noladefense,url,http://dirieoct.smyb-co-jp.top/,#phishing,https://twitter.com/noladefense/status/1645094834972119041
2023-04-09 16:02:27,noladefense,ip,171.22.109.62,#phishing,https://twitter.com/noladefense/status/1645094834972119041
2023-04-09 16:02:53,noladefense,url,http://www.smjtb-japans.adolpa.cyou/,#phishing,https://twitter.com/noladefense/status/1645094943688478721
2023-04-09 16:02:53,noladefense,ip,89.117.113.159,#phishing,https://twitter.com/noladefense/status/1645094943688478721
2023-04-09 16:03:16,noladefense,url,http://www.smjtb-japans.doraes.cyou/,#phishing,https://twitter.com/noladefense/status/1645095038211219459
2023-04-09 16:03:33,noladefense,url,http://www.smjtb-japans.keatsc.cyou/,#phishing,https://twitter.com/noladefense/status/1645095112869904385
2023-04-09 16:03:54,noladefense,url,http://directi.smtbi.jp.ap1-ib-pers-onal.top/,#phishing,https://twitter.com/noladefense/status/1645095201046708225
2023-04-09 16:03:54,noladefense,ip,66.151.116.101,#phishing,https://twitter.com/noladefense/status/1645095201046708225
2023-04-09 16:18:08,noladefense,url,http://steamccommunityy.com/,#phishing,https://twitter.com/noladefense/status/1645098782017634306
2023-04-09 16:38:25,kioan,url,http://https://pprosperllc.com/taxgov/.zgov/,#phishing,https://twitter.com/kioan/status/1645103884401082374
2023-04-09 16:54:02,PhishingHunter_,ip,2606:50c0:8000::153,#phishing #scam,https://twitter.com/PhishingHunter_/status/1645107817504731139
