# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 21 Sep 2026 03:01:54 +0200
#
# IP	number of (black)lists
#
162.216.150.6	7
163.7.9.84	7
163.7.13.17	7
164.52.105.37	7
164.90.234.144	7
164.160.1.220	7
165.73.201.216	7
165.99.207.153	7
165.154.11.170	7
167.71.233.141	7
167.99.12.43	7
167.250.160.139	7
168.144.65.188	7
169.58.186.92	7
170.238.160.191	7
171.25.158.70	7
171.104.143.176	7
172.236.228.224	7
172.236.228.227	7
172.236.228.229	7
173.249.52.138	7
175.118.127.138	7
176.236.127.114	7
177.229.197.38	7
178.62.212.177	7
178.216.165.187	7
179.107.82.23	7
179.184.85.167	7
180.100.217.164	7
180.247.58.193	7
182.61.33.68	7
182.70.243.207	7
182.253.221.210	7
183.82.111.224	7
184.105.247.196	7
185.60.136.87	7
185.143.197.45	7
185.204.171.55	7
185.226.196.12	7
185.226.197.8	7
185.242.226.18	7
185.242.226.19	7
185.246.130.20	7
185.255.212.178	7
186.42.173.68	7
186.47.77.39	7
186.120.179.222	7
186.122.177.140	7
186.148.224.83	7
186.208.7.197	7
187.8.120.90	7
187.212.43.1	7
188.20.244.19	7
188.166.95.31	7
188.240.59.18	7
188.240.59.39	7
188.240.59.56	7
189.203.163.10	7
190.2.22.129	7
190.66.153.202	7
190.129.122.185	7
190.220.172.154	7
191.37.68.23	7
191.97.106.92	7
192.248.150.180	7
192.253.248.87	7
193.24.211.218	7
193.47.62.69	7
193.90.12.230	7
193.124.20.233	7
193.187.110.213	7
194.127.117.45	7
194.153.198.230	7
195.178.110.217	7
195.178.110.227	7
195.206.182.208	7
196.203.231.220	7
196.216.81.126	7
197.5.145.114	7
197.248.8.33	7
197.253.54.22	7
198.235.24.18	7
198.235.24.37	7
198.235.24.66	7
198.235.24.69	7
198.235.24.72	7
198.235.24.78	7
198.235.24.81	7
198.235.24.87	7
198.235.24.88	7
198.235.24.89	7
198.235.24.106	7
198.235.24.110	7
198.235.24.114	7
198.235.24.120	7
198.235.24.126	7
198.235.24.127	7
198.235.24.156	7
198.235.24.164	7
198.235.24.180	7
198.235.24.207	7
198.235.24.212	7
198.235.24.220	7
198.235.24.221	7
198.235.24.222	7
198.235.24.227	7
198.235.24.232	7
198.235.24.236	7
198.235.24.238	7
198.235.24.244	7
198.235.24.246	7
198.235.24.253	7
198.235.24.254	7
199.45.154.49	7
199.45.154.51	7
199.45.154.52	7
199.45.154.58	7
199.45.154.59	7
199.45.154.61	7
199.45.154.62	7
199.45.154.64	7
199.45.154.66	7
199.45.154.72	7
199.45.154.118	7
199.45.155.22	7
199.45.155.25	7
199.45.155.28	7
199.45.155.31	7
199.45.155.50	7
199.45.155.52	7
199.45.155.53	7
199.45.155.56	7
200.77.172.159	7
200.155.76.14	7
200.175.149.58	7
200.196.50.91	7
201.76.120.30	7
202.145.0.61	7
203.135.42.52	7
203.145.143.163	7
205.210.31.29	7
205.210.31.43	7
205.210.31.54	7
205.210.31.71	7
205.210.31.81	7
205.210.31.84	7
205.210.31.89	7
205.210.31.94	7
205.210.31.100	7
205.210.31.101	7
205.210.31.105	7
205.210.31.107	7
205.210.31.150	7
205.210.31.162	7
205.210.31.171	7
205.210.31.177	7
205.210.31.193	7
205.210.31.194	7
205.210.31.195	7
205.210.31.200	7
205.210.31.201	7
205.210.31.207	7
205.210.31.210	7
205.210.31.212	7
205.210.31.228	7
205.210.31.230	7
205.210.31.242	7
205.210.31.244	7
205.210.31.245	7
205.210.31.248	7
209.14.84.163	7
209.38.246.31	7
210.87.97.90	7
210.212.136.3	7
211.223.41.90	7
211.253.9.49	7
212.227.145.117	7
213.42.31.237	7
213.206.207.146	7
216.126.225.6	7
216.180.246.12	7
216.180.246.65	7
216.180.246.106	7
216.180.246.136	7
216.226.77.30	7
217.154.234.6	7
218.4.214.115	7
220.80.223.144	7
220.90.220.204	7
220.247.224.226	7
221.161.235.168	7
222.107.156.227	7
223.247.218.112	7
1.212.225.99	6
1.222.42.237	6
2.26.64.195	6
2.28.61.74	6
2.55.122.202	6
2.57.122.150	6
2.57.122.168	6
2.57.122.209	6
3.86.101.5	6
3.131.220.121	6
4.148.17.94	6
4.221.186.70	6
4.240.126.25	6
5.75.199.80	6
5.180.42.23	6
5.188.16.97	6
5.226.140.26	6
5.226.140.94	6
5.253.59.68	6
8.209.96.38	6
8.213.213.199	6
12.202.15.69	6
13.218.201.98	6
13.219.1.233	6
14.18.236.71	6
14.29.198.130	6
14.55.144.22	6
14.103.36.137	6
14.103.48.24	6
14.103.107.234	6
