2023-03-01 14:01:42,drb_ra,ip,194.135.104.48,#CobaltStrike,https://twitter.com/drb_ra/status/1630931317868097537
2023-03-01 14:01:52,drb_ra,url,http://198.12.116.52:80,#CobaltStrike,https://twitter.com/drb_ra/status/1630931362944360448
2023-03-01 14:01:52,drb_ra,url,http://198.12.116.52./en_US/all.js,#CobaltStrike,https://twitter.com/drb_ra/status/1630931362944360448
2023-03-01 14:01:52,drb_ra,ip,198.12.116.52,#CobaltStrike,https://twitter.com/drb_ra/status/1630931362944360448
2023-03-01 14:35:35,0xToxin,url,http://191.101.2.39/installazione.exe,,https://twitter.com/0xToxin/status/1630939844699406337
2023-03-01 14:35:35,0xToxin,ip,191.101.2.39,,https://twitter.com/0xToxin/status/1630939844699406337
2023-03-01 15:00:12,JAMESWT_MHT,url,http://109.248.11.155/network.exe,,https://twitter.com/JAMESWT_MHT/status/1630946042995695616
2023-03-01 15:00:12,JAMESWT_MHT,ip,109.248.11.155,,https://twitter.com/JAMESWT_MHT/status/1630946042995695616
2023-03-01 14:48:30,KesaGataMe0,url,http://www.peypey-bnnk.huanxibo.com,#phishing,https://twitter.com/KesaGataMe0/status/1630943095566258176
2023-03-01 14:48:30,KesaGataMe0,url,http://www.peypey-bnnk.surflotto.com,#phishing,https://twitter.com/KesaGataMe0/status/1630943095566258176
2023-03-01 14:48:30,KesaGataMe0,ip,23.247.42.26,#phishing,https://twitter.com/KesaGataMe0/status/1630943095566258176
2023-03-01 15:00:22,quicksandphish,url,http://www.koyamatq.co.br6d1.com.cn/third.php,#phishing,https://twitter.com/quicksandphish/status/1630946085144260611
2023-03-01 15:00:36,AtomSpam,url,http://xhl.tokenstudio.me/,#phishing,https://twitter.com/AtomSpam/status/1630946140311937025
2023-03-01 15:01:26,quicksandphish,url,http://test1234-1.online/plala.or.jp,#phishing,https://twitter.com/quicksandphish/status/1630946350077714433
2023-03-01 15:02:23,quicksandphish,url,http://fb.groh.name,#phishing,https://twitter.com/quicksandphish/status/1630946592151805955
2023-03-01 15:05:45,harugasumi,url,http://www.peypey-bnnk.huxtlers.com,#phishing,https://twitter.com/harugasumi/status/1630947437744652299
2023-03-01 15:09:31,AtomSpam,url,http://mobildeniz-bireysel.top/,#phishing,https://twitter.com/AtomSpam/status/1630948384558252032
2023-03-01 10:43:05,malwrhunterteam,url,https://www.karena.info/oferta.txt,,https://twitter.com/malwrhunterteam/status/1630881334582210560
2023-03-01 10:43:05,malwrhunterteam,sha256,d3bea31897d661a7f0d134e82292de2082e660f34d22f9247480738dce70976c,,https://twitter.com/malwrhunterteam/status/1630881334582210560
2023-03-01 17:29:23,h2jazi,md5,e63111495afd24a4c1b2750184ae1343,,https://twitter.com/h2jazi/status/1630983583727747085
2023-03-01 18:54:43,nosecurething,url,http://thnzettd.fun,,https://twitter.com/nosecurething/status/1631005059302522900
2023-03-01 18:54:43,nosecurething,url,http://gunhdr.top,,https://twitter.com/nosecurething/status/1631005059302522900
2023-03-01 18:54:43,nosecurething,url,http://dssdgihbiuieyygvkdsiy4.cn,,https://twitter.com/nosecurething/status/1631005059302522900
